model,method,seed,accuracy_threshold,flip_threshold,threshold_N,first_passing_N,persistent_passing_N
lenet,dfr,0,0.7,0.1,250,250,250
lenet,dfr,1,0.7,0.1,250,250,250
lenet,dfr,2,0.7,0.1,250,250,250
lenet,dfr,3,0.7,0.1,250,250,250
lenet,dfr,4,0.7,0.1,250,250,250
lenet,erm,0,0.7,0.1,1000,1000,1000
lenet,erm,1,0.7,0.1,2500,2500,2500
lenet,erm,2,0.7,0.1,1000,1000,1000
lenet,erm,3,0.7,0.1,1000,1000,1000
lenet,erm,4,0.7,0.1,2500,2500,2500
lenet,groupdro,0,0.7,0.1,500,500,500
lenet,groupdro,1,0.7,0.1,500,500,500
lenet,groupdro,2,0.7,0.1,250,250,250
lenet,groupdro,3,0.7,0.1,250,250,250
lenet,groupdro,4,0.7,0.1,500,500,500
resnet18_mnist,dfr,0,0.7,0.1,1000,1000,1000
resnet18_mnist,dfr,1,0.7,0.1,1000,1000,1000
resnet18_mnist,dfr,2,0.7,0.1,1000,1000,1000
resnet18_mnist,dfr,3,0.7,0.1,500,500,500
resnet18_mnist,dfr,4,0.7,0.1,1000,1000,1000
resnet18_mnist,erm,0,0.7,0.1,1000,1000,1000
resnet18_mnist,erm,1,0.7,0.1,1000,1000,1000
resnet18_mnist,erm,2,0.7,0.1,500,500,2500
resnet18_mnist,erm,3,0.7,0.1,1000,1000,1000
resnet18_mnist,erm,4,0.7,0.1,2500,2500,2500
resnet18_mnist,groupdro,0,0.7,0.1,500,500,500
resnet18_mnist,groupdro,1,0.7,0.1,500,500,500
resnet18_mnist,groupdro,2,0.7,0.1,250,250,250
resnet18_mnist,groupdro,3,0.7,0.1,250,250,250
resnet18_mnist,groupdro,4,0.7,0.1,500,500,500
lenet,dfr,0,0.8,0.05,1000,1000,1000
lenet,dfr,1,0.8,0.05,1000,1000,1000
lenet,dfr,2,0.8,0.05,1000,1000,1000
lenet,dfr,3,0.8,0.05,1000,1000,1000
lenet,dfr,4,0.8,0.05,1000,1000,1000
lenet,erm,0,0.8,0.05,5000,5000,5000
