model,method,accuracy_threshold,flip_threshold,definition,median_N,min_N,max_N,mean_N,sd_N,seeds_passing,seeds_total
lenet,dfr,0.7,0.1,first_passing,250.0,250,250,250.0,0.0,5,5
lenet,dfr,0.7,0.1,persistent_passing,250.0,250,250,250.0,0.0,5,5
lenet,dfr,0.8,0.05,first_passing,1000.0,1000,1000,1000.0,0.0,5,5
lenet,dfr,0.8,0.05,persistent_passing,1000.0,1000,1000,1000.0,0.0,5,5
lenet,dfr,0.8,0.1,first_passing,250.0,250,250,250.0,0.0,5,5
lenet,dfr,0.8,0.1,persistent_passing,250.0,250,250,250.0,0.0,5,5
lenet,dfr,0.8,0.15,first_passing,100.0,100,250,160.0,82.15838362577492,5,5
lenet,dfr,0.8,0.15,persistent_passing,100.0,100,250,160.0,82.15838362577492,5,5
lenet,dfr,0.9,0.1,first_passing,250.0,250,250,250.0,0.0,5,5
lenet,dfr,0.9,0.1,persistent_passing,250.0,250,250,250.0,0.0,5,5
lenet,erm,0.7,0.1,first_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
lenet,erm,0.7,0.1,persistent_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
lenet,erm,0.8,0.05,first_passing,5000.0,5000,5000,5000.0,0.0,5,5
lenet,erm,0.8,0.05,persistent_passing,5000.0,5000,5000,5000.0,0.0,5,5
lenet,erm,0.8,0.1,first_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
lenet,erm,0.8,0.1,persistent_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
lenet,erm,0.8,0.15,first_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
lenet,erm,0.8,0.15,persistent_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
lenet,erm,0.9,0.1,first_passing,2500.0,1000,2500,1900.0,821.5838362577492,5,5
lenet,erm,0.9,0.1,persistent_passing,2500.0,1000,2500,1900.0,821.5838362577492,5,5
lenet,groupdro,0.7,0.1,first_passing,500.0,250,500,400.0,136.93063937629154,5,5
lenet,groupdro,0.7,0.1,persistent_passing,500.0,250,500,400.0,136.93063937629154,5,5
lenet,groupdro,0.8,0.05,first_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
lenet,groupdro,0.8,0.05,persistent_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
lenet,groupdro,0.8,0.1,first_passing,500.0,250,500,400.0,136.93063937629154,5,5
lenet,groupdro,0.8,0.1,persistent_passing,500.0,250,500,400.0,136.93063937629154,5,5
lenet,groupdro,0.8,0.15,first_passing,250.0,250,250,250.0,0.0,5,5
lenet,groupdro,0.8,0.15,persistent_passing,250.0,250,250,250.0,0.0,5,5
lenet,groupdro,0.9,0.1,first_passing,500.0,250,500,400.0,136.93063937629154,5,5
lenet,groupdro,0.9,0.1,persistent_passing,500.0,250,500,400.0,136.93063937629154,5,5
resnet18_mnist,dfr,0.7,0.1,first_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
resnet18_mnist,dfr,0.7,0.1,persistent_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
resnet18_mnist,dfr,0.8,0.05,first_passing,2500.0,2500,2500,2500.0,0.0,5,5
resnet18_mnist,dfr,0.8,0.05,persistent_passing,2500.0,2500,2500,2500.0,0.0,5,5
resnet18_mnist,dfr,0.8,0.1,first_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
resnet18_mnist,dfr,0.8,0.1,persistent_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
resnet18_mnist,dfr,0.8,0.15,first_passing,500.0,500,500,500.0,0.0,5,5
resnet18_mnist,dfr,0.8,0.15,persistent_passing,500.0,500,500,500.0,0.0,5,5
resnet18_mnist,dfr,0.9,0.1,first_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
resnet18_mnist,dfr,0.9,0.1,persistent_passing,1000.0,500,1000,900.0,223.60679774997897,5,5
resnet18_mnist,erm,0.7,0.1,first_passing,1000.0,500,2500,1200.0,758.287544405155,5,5
resnet18_mnist,erm,0.7,0.1,persistent_passing,1000.0,1000,2500,1600.0,821.5838362577492,5,5
resnet18_mnist,erm,0.8,0.05,first_passing,2500.0,2500,5000,3500.0,1369.3063937629154,5,5
resnet18_mnist,erm,0.8,0.05,persistent_passing,2500.0,2500,5000,3500.0,1369.3063937629154,5,5
