model,method,seed,n80
lenet,dfr,0,250
lenet,dfr,1,250
lenet,dfr,2,250
lenet,dfr,3,250
lenet,dfr,4,250
lenet,erm,0,1000
lenet,erm,1,2500
lenet,erm,2,1000
lenet,erm,3,1000
lenet,erm,4,2500
lenet,groupdro,0,500
lenet,groupdro,1,500
lenet,groupdro,2,250
lenet,groupdro,3,250
lenet,groupdro,4,500
resnet18_mnist,dfr,0,1000
resnet18_mnist,dfr,1,1000
resnet18_mnist,dfr,2,1000
resnet18_mnist,dfr,3,500
resnet18_mnist,dfr,4,1000
resnet18_mnist,erm,0,1000
resnet18_mnist,erm,1,1000
resnet18_mnist,erm,2,500
resnet18_mnist,erm,3,1000
resnet18_mnist,erm,4,2500
resnet18_mnist,groupdro,0,500
resnet18_mnist,groupdro,1,500
resnet18_mnist,groupdro,2,250
resnet18_mnist,groupdro,3,250
resnet18_mnist,groupdro,4,500
