model,method,reference_method,budget_N,n_pairs,aligned_delta_mean,aligned_delta_sd,conflict_delta_mean,conflict_delta_sd,flip_delta_mean,flip_delta_sd,worst_group_delta_mean,worst_group_delta_sd
lenet,dfr,erm,50,5,-0.018320000171661376,0.00396002805827067,0.3374399960041046,0.046699509558227374,-0.34538887441158295,0.046404571963022175,0.10051494296640158,0.07657371111804391
lenet,dfr,erm,100,5,-0.018459999561309816,0.01352028476373706,0.2782844305038452,0.04828781894423162,-0.2883844435214996,0.04931440867301943,0.3264435624703765,0.1283227782765011
lenet,dfr,erm,250,5,-0.007760000228881836,0.003347836422536246,0.16735777854919434,0.014378557096549187,-0.17272444516420365,0.016039170953625538,0.5881975563243032,0.07082252304628528
lenet,dfr,erm,500,5,-0.005219995975494385,0.0008843172158883867,0.10191335678100585,0.031556305156307446,-0.10583110526204109,0.0313989129196689,0.531063312292099,0.14676123938352095
lenet,dfr,erm,1000,5,-0.004500007629394532,0.0003999881449796396,0.055964457988739016,0.009859364901327711,-0.05989111214876175,0.010170140190759604,0.3038813531398773,0.06538008824354029
lenet,dfr,erm,2500,5,-0.0024199843406677245,0.0009654104041520629,0.031782233715057374,0.009526586124451147,-0.03398000039160252,0.008938288628752867,0.22360260486602784,0.07944120969040275
lenet,dfr,erm,5000,5,-0.000579988956451416,0.0008899377859119652,0.014293324947357178,0.0037654815383451608,-0.015086666494607926,0.0033795074747683773,0.11143279075622559,0.053006490111730385
resnet18_mnist,dfr,erm,50,5,-0.0017399907112121582,0.002280992482515984,0.09590444862842559,0.05892797331913069,-0.09619110822677612,0.05919841764987822,0.0,0.0
resnet18_mnist,dfr,erm,100,5,0.020500004291534424,0.04629445549124192,0.10093554258346557,0.09277398873776713,-0.1083666741847992,0.0965939055512647,0.017483583628199996,0.030501564925525363
resnet18_mnist,dfr,erm,250,5,0.0008600115776062012,0.002322275764912795,0.06356666088104249,0.046171460637918854,-0.0637088805437088,0.046192145079421244,0.0952800274011679,0.09360904038690744
resnet18_mnist,dfr,erm,500,5,0.0012400031089782714,0.0028395247394586262,0.022384440898895262,0.02929793417018601,-0.02193777859210968,0.0282104845390018,0.14298817813396453,0.19128744395237016
