run_id,status,model,method,budget_N,seed,data_seed,train_seed,start_time,end_time,device,config_path,checkpoint_path,metrics_path,notes
lenet_dfr_N100_seed0,completed,lenet,dfr,100,0,0,0,,2026-07-12T01:43:00+02:00,cuda,outputs_final/lenet/dfr/N100/seed0/config_resolved.yaml,,outputs_final/lenet/dfr/N100/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed1,completed,lenet,dfr,100,1,1,1,,2026-07-12T01:43:07+02:00,cuda,outputs_final/lenet/dfr/N100/seed1/config_resolved.yaml,,outputs_final/lenet/dfr/N100/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed2,completed,lenet,dfr,100,2,2,2,,2026-07-12T01:43:14+02:00,cuda,outputs_final/lenet/dfr/N100/seed2/config_resolved.yaml,,outputs_final/lenet/dfr/N100/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed3,completed,lenet,dfr,100,3,3,3,,2026-07-12T01:43:20+02:00,cuda,outputs_final/lenet/dfr/N100/seed3/config_resolved.yaml,,outputs_final/lenet/dfr/N100/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N100_seed4,completed,lenet,dfr,100,4,4,4,,2026-07-12T01:43:26+02:00,cuda,outputs_final/lenet/dfr/N100/seed4/config_resolved.yaml,,outputs_final/lenet/dfr/N100/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed0,completed,lenet,dfr,1000,0,0,0,,2026-07-12T01:44:44+02:00,cuda,outputs_final/lenet/dfr/N1000/seed0/config_resolved.yaml,,outputs_final/lenet/dfr/N1000/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed1,completed,lenet,dfr,1000,1,1,1,,2026-07-12T01:44:51+02:00,cuda,outputs_final/lenet/dfr/N1000/seed1/config_resolved.yaml,,outputs_final/lenet/dfr/N1000/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed2,completed,lenet,dfr,1000,2,2,2,,2026-07-12T01:44:58+02:00,cuda,outputs_final/lenet/dfr/N1000/seed2/config_resolved.yaml,,outputs_final/lenet/dfr/N1000/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed3,completed,lenet,dfr,1000,3,3,3,,2026-07-12T01:45:06+02:00,cuda,outputs_final/lenet/dfr/N1000/seed3/config_resolved.yaml,,outputs_final/lenet/dfr/N1000/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N1000_seed4,completed,lenet,dfr,1000,4,4,4,,2026-07-12T01:45:12+02:00,cuda,outputs_final/lenet/dfr/N1000/seed4/config_resolved.yaml,,outputs_final/lenet/dfr/N1000/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed0,completed,lenet,dfr,250,0,0,0,,2026-07-12T01:43:34+02:00,cuda,outputs_final/lenet/dfr/N250/seed0/config_resolved.yaml,,outputs_final/lenet/dfr/N250/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed1,completed,lenet,dfr,250,1,1,1,,2026-07-12T01:43:40+02:00,cuda,outputs_final/lenet/dfr/N250/seed1/config_resolved.yaml,,outputs_final/lenet/dfr/N250/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed2,completed,lenet,dfr,250,2,2,2,,2026-07-12T01:43:49+02:00,cuda,outputs_final/lenet/dfr/N250/seed2/config_resolved.yaml,,outputs_final/lenet/dfr/N250/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed3,completed,lenet,dfr,250,3,3,3,,2026-07-12T01:43:56+02:00,cuda,outputs_final/lenet/dfr/N250/seed3/config_resolved.yaml,,outputs_final/lenet/dfr/N250/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N250_seed4,completed,lenet,dfr,250,4,4,4,,2026-07-12T01:44:03+02:00,cuda,outputs_final/lenet/dfr/N250/seed4/config_resolved.yaml,,outputs_final/lenet/dfr/N250/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_dfr_N2500_seed0,completed,lenet,dfr,2500,0,0,0,,2026-07-12T01:45:20+02:00,cuda,outputs_final/lenet/dfr/N2500/seed0/config_resolved.yaml,,outputs_final/lenet/dfr/N2500/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
